idx,subject,task,repetition,assisted,assistance,time,avg_dist,avg_force
24,A,Training3,0,False,1.0,15.564169999999995,0.0038160205781526,0.2124724812616208
25,A,Training3,1,False,1.0,13.448700000000002,0.0042325075628214,0.2421330187824488
26,A,Training3,10,False,0.25,9.173300000000012,0.0043843400975534,0.2953572624433764
27,A,Training3,11,False,0.25,6.829299999999989,0.0040104370254859,0.2903751420497238
28,A,Training3,2,False,1.0,8.796100000000024,0.0040374747145945,0.3581470912291068
29,A,Training3,3,False,0.75,16.963979999999992,0.0049324042676343,0.0815740258722966
30,A,Training3,4,False,0.75,13.793000000000006,0.0037866539346801,0.3619733316026087
31,A,Training3,5,False,0.75,15.701400000000037,0.0042765025321611,0.1505790004939454
32,A,Training3,6,False,0.5,8.976200000000006,0.0042845362915544,0.302041651306763
33,A,Training3,7,False,0.5,10.357400000000013,0.0043831018126275,0.2563118371421286
34,A,Training3,8,False,0.5,7.396799999999985,0.0045584592287717,0.1941505408780277
35,A,Training3,9,False,0.25,7.67962,0.0044150263980737,0.1397333646652141
72,D,Training3,0,True,1.0,39.37950000000001,0.0053164113828188,0.0001981927742731
73,D,Training3,1,True,1.0,27.49019999999996,0.004978928408709,0.0004994580458089
74,D,Training3,10,True,0.25,21.007600000000025,0.0046446824257517,0.0707980134413009
75,D,Training3,11,True,0.25,20.323399999999992,0.0049024687338221,0.0008559853177167
76,D,Training3,2,True,1.0,26.23900000000004,0.0051381242976924,0.0004353096107051
77,D,Training3,3,True,0.75,38.87439999999998,0.0055339864670428,0.0021484622284914
78,D,Training3,4,True,0.75,21.01890000000003,0.0050473684149369,0.0472896979750589
79,D,Training3,5,True,0.75,25.612600000000043,0.0050833200154644,0.0262229568924549
80,D,Training3,6,True,0.5,19.271500000000003,0.0048349610820924,0.099939567899673
81,D,Training3,7,True,0.5,19.563900000000046,0.0050388144383024,0.0778709896845381
82,D,Training3,8,True,0.5,19.8900000000001,0.0045572107375514,0.007004622696402
83,D,Training3,9,True,0.25,18.533199999999965,0.0048719478816572,0.009606143620119
120,I,Training3,0,True,1.0,12.686800000000003,0.0051343040106021,0.0709931812006046
121,I,Training3,1,True,1.0,15.041099999999972,0.0055054025708195,0.0547438554480662
122,I,Training3,10,True,0.25,11.63620000000003,0.0049094901900821,0.0180904503948668
123,I,Training3,11,True,0.25,13.078100000000063,0.0052642621373911,0.0056730679925653
124,I,Training3,2,True,1.0,12.18259999999998,0.0050897170565274,0.0993449988592917
125,I,Training3,3,True,0.75,11.418200000000011,0.0053816520544164,0.0035887980996653
126,I,Training3,4,True,0.75,12.1053,0.0054190186847188,0.0067732899738886
127,I,Training3,5,True,0.75,13.328600000000051,0.0047663399487261,0.1360781434035521
128,I,Training3,6,True,0.5,9.45919999999998,0.0051764875137993,0.0024021140799936
129,I,Training3,7,True,0.5,8.345200000000006,0.0051821935612051,0.0318024630742072
130,I,Training3,8,True,0.5,12.913800000000007,0.0054228612087688,0.0506204994160573
131,I,Training3,9,True,0.25,12.067099999999982,0.005293324572598,0.0977069310585442
146,K,Training3,0,True,1.0,10.351119999999996,0.0044756557885112,0.1680347716052322
166,P,Training3,0,False,1.0,28.917100000000005,0.0050700185549033,0.0004369956970151
167,P,Training3,1,False,1.0,24.449500000000057,0.0048829489878146,0.0034621204266727
168,P,Training3,2,False,1.0,21.11500000000001,0.0049751543419648,0.0130384091486771
169,P,Training3,3,False,0.75,23.2234,0.0047718907221268,0.0005824577451206
170,P,Training3,4,False,0.75,23.02109999999999,0.0049876990274492,0.0008544311033245
171,P,Training3,5,False,0.75,28.44980000000004,0.0052224070433377,0.0024186948393082
172,P,Training3,6,False,0.5,16.373400000000004,0.0052626215395774,2.858253119545227e-05
173,P,Training3,7,False,0.5,17.1866,0.0052661849168148,0.0002396376638996
174,P,Training3,8,False,0.5,18.556299999999965,0.0053435909126243,9.78586404958955e-05
208,S,Training3,0,False,1.0,24.6473,0.0043614163137169,0.425422079306718
209,S,Training3,1,False,1.0,17.185299999999984,0.0041982099946126,0.2944875772348111
210,S,Training3,10,False,0.25,11.551899999999932,0.0046498297257024,0.0073862086621224
211,S,Training3,11,False,0.25,13.774800000000027,0.0051846531439565,0.0571507329474297
212,S,Training3,2,False,1.0,17.405400000000043,0.0037645672486644,0.309688538889815
213,S,Training3,3,False,0.75,11.227599999999995,0.0037916302325122,0.475188966754161
214,S,Training3,4,False,0.75,13.85160000000002,0.0052565234275705,0.0841715836221278
215,S,Training3,5,False,0.75,8.255600000000015,0.0048557240265475,0.1181093538435411
216,S,Training3,6,False,0.5,19.891169999999995,0.0053107896197943,0.0859795656693189
217,S,Training3,7,False,0.5,12.886899999999995,0.0049902673158492,0.1538152707416239
218,S,Training3,8,False,0.5,13.810000000000002,0.0046726352034888,0.1194200843383002
219,S,Training3,9,False,0.25,8.928800000000024,0.004904146141586,0.0075889163164307
256,V,Training3,0,True,1.0,31.362599999999983,0.0056374780392623,0.0017618739367514
257,V,Training3,1,True,1.0,24.1721,0.0048870928043603,0.0054598530427227
