idx,subject,task,repetition,assisted,assistance,time,avg_dist,avg_force
12,A,Training1,0,False,1.0,28.13682,0.0042503702206546,0.5367087540294514
13,A,Training1,1,False,1.0,17.935500000000005,0.0035708372505388,0.494154363480509
14,A,Training1,10,False,0.25,12.911270000000002,0.005009308041477,0.5367327668102192
15,A,Training1,11,False,0.25,12.597300000000018,0.0035226270993237,0.4389063417818005
16,A,Training1,2,False,1.0,18.1764,0.0051539036692185,0.6212309019854251
17,A,Training1,3,False,0.75,24.092130000000004,0.0044521323677113,0.549157423291639
18,A,Training1,4,False,0.75,30.631100000000004,0.003277827591894,0.3877425763259599
19,A,Training1,5,False,0.75,19.442999999999984,0.0039714432815761,0.5471928946774752
20,A,Training1,6,False,0.5,24.70504,0.0040715579511599,0.5607390852296044
21,A,Training1,7,False,0.5,17.065799999999996,0.0041076409816232,0.4669366871896245
22,A,Training1,8,False,0.5,19.97040000000001,0.0037985066415279,0.4954913866005346
23,A,Training1,9,False,0.25,16.645480000000003,0.0041897083543426,0.5677953781999219
72,D,Training1,0,True,1.0,46.15189999999998,0.0033818507813462,0.3479667841519351
73,D,Training1,1,True,1.0,39.11559999999997,0.0028600955927456,0.3184297876014706
74,D,Training1,10,True,0.25,33.04160000000002,0.002462464813282,0.2419248051142321
75,D,Training1,11,True,0.25,31.65790000000004,0.0020617082546528,0.1940882252118325
76,D,Training1,2,True,1.0,41.30199999999991,0.0036044132048242,0.4019833233479766
77,D,Training1,3,True,0.75,31.301000000000045,0.0027939027367226,0.2626754373616334
78,D,Training1,4,True,0.75,42.48120000000006,0.0022244604597688,0.1872312572036702
79,D,Training1,5,True,0.75,43.14099999999996,0.0021287400264583,0.1856006813339822
80,D,Training1,6,True,0.5,38.37709,0.0025853032454329,0.2726036600907048
81,D,Training1,7,True,0.5,41.1977,0.0019464835673669,0.1032093308989398
82,D,Training1,8,True,0.5,45.33100000000002,0.0023292360805243,0.14757352633252
83,D,Training1,9,True,0.25,34.75369999999998,0.0021781617508321,0.1407833548767608
132,I,Training1,0,True,1.0,25.71839999999997,0.0024379821016869,0.2615124601319203
133,I,Training1,1,True,1.0,14.188099999999965,0.002915970582023,0.3299403010207183
134,I,Training1,10,True,0.25,22.96620000000001,0.0023407370437564,0.1895444090138475
135,I,Training1,11,True,0.25,20.18110000000001,0.001840514562062,0.1400063985085545
136,I,Training1,2,True,1.0,17.452999999999975,0.0024961565663777,0.3541788735733491
137,I,Training1,3,True,0.75,21.93458,0.0036104608091124,0.3975919152486087
138,I,Training1,4,True,0.75,17.926900000000046,0.0029113081518422,0.3709955000654236
139,I,Training1,5,True,0.75,20.355500000000006,0.0025676463888176,0.3133439471175717
140,I,Training1,6,True,0.5,18.5231,0.0031324689621879,0.401562039512859
141,I,Training1,7,True,0.5,18.822379999999995,0.003055827024568,0.4178917174500025
142,I,Training1,8,True,0.5,25.51740000000001,0.0022886793037537,0.2410079765505363
