idx,subject,task,repetition,assisted,assistance,time,clutch_time,avg_dist,avg_angle,avg_force,avg_torque
0,A,LiverResection,0,False,0.0,10.57685,0.0,0.004839284490026,8.355951253943669,0.3284134161225048,0.0
1,A,LiverResection,1,False,0.0,10.456999999999994,0.0,0.0081817761248757,9.930831165948048,0.5198585762752754,0.0
2,A,LiverResection,2,False,0.0,9.010199999999998,0.0,0.0070103699827683,16.406551433840992,0.5255419139025446,0.0
60,D,LiverResection,0,False,0.0,34.17549,0.1490384615384615,0.0042331201996951,6.897411804146845,0.2240257277745184,0.0
61,D,LiverResection,1,False,0.0,35.75449999999995,0.1618497109826589,0.0045965380983433,10.486367679771512,0.1871768342196787,0.0
62,D,LiverResection,2,False,0.0,32.39820000000003,0.0342679127725856,0.0032659632995213,15.031534061618611,0.0805567536235254,0.0
120,I,LiverResection,0,False,0.0,21.438699999999983,0.0,0.0038502377508932,4.975726644621962,0.2240671297708019,0.0
121,I,LiverResection,1,False,0.0,18.1327,0.0,0.0034627718051825,5.254998410001448,0.131385250411057,0.0
122,I,LiverResection,2,False,0.0,18.898599999999988,0.0,0.0028672083894482,5.833236483126659,0.1397052253796143,0.0
180,P,LiverResection,0,False,0.0,27.268899999999974,0.0,0.0038007749476472,9.496531756574267,0.2201106995408013,0.0
181,P,LiverResection,1,False,0.0,25.780500000000075,0.0,0.0042883945698486,8.509802991989329,0.228098977974433,0.0
182,P,LiverResection,2,False,0.0,27.39390000000003,0.0,0.0087870282644743,16.876604181974272,0.4931488321447188,0.0
240,G,LiverResection,0,False,0.0,21.537800000000004,0.0,0.0034668038530228,13.337373547210987,0.1460113327370279,0.0
241,G,LiverResection,1,False,0.0,13.059900000000027,0.0,0.0040162265291648,9.89077060634469,0.24245879411742,0.0
242,G,LiverResection,2,False,0.0,18.075199999999995,0.0,0.0032421045106358,7.399770228581884,0.0878991040804634,0.0
300,V,LiverResection,0,False,0.0,21.40519999999998,0.0,0.0041910203454601,17.10863033601078,0.2020898882774048,0.0
301,V,LiverResection,1,False,0.0,16.322299999999984,0.0,0.0051468488811003,10.40387371832562,0.2599905256742453,0.0
302,V,LiverResection,2,False,0.0,10.823300000000017,0.0,0.0034643372616171867,10.156489453893489,0.091089524923687,0.0
