Time,SurfaceOrientationGuidanceVF_forceX0,SurfaceOrientationGuidanceVF_forceY0,SurfaceOrientationGuidanceVF_forceZ0,SurfaceOrientationGuidanceVF_torqueX0,SurfaceOrientationGuidanceVF_torqueY0,SurfaceOrientationGuidanceVF_torqueZ0,SurfaceOrientationGuidanceVF_dist0,SurfaceOrientationGuidanceVF_angle0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
544.4536,0.01428871,0.002152826,-0.006393793,0,0,0,0.002868267,11.08125,False,0,-1.49602,-0.004999101,-3.225824,0.197649,0.1584594,0.9673808,False,0.1115205
544.4885,0.01736154,0.002615798,-0.0077688,0,0,0,0.003066514,11.01816,False,0,-1.496045,-0.005078912,-3.225588,0.1990315,0.1581676,0.967145,False,0.111548
544.5261,0.0213461,0.003216136,-0.009551777,0,0,0,0.003277628,10.94192,False,0,-1.495992,-0.005149066,-3.225426,0.1999744,0.1577584,0.9670174,False,0.1116106
544.5591,0.0238035,0.003586384,-0.01065139,0,0,0,0.003389379,10.89242,False,0,-1.495916,-0.00523597,-3.22525,0.2009727,0.1567955,0.966967,False,0.1116959
544.5942,0.02678999,0.004036348,-0.01198777,0,0,0,0.003510972,10.8462,False,0,-1.495794,-0.005296469,-3.225153,0.2016805,0.1556485,0.9670049,False,0.1117884
544.6305,0.02769301,0.004172402,-0.01239184,0,0,0,0.003545153,10.81891,False,0,-1.495495,-0.005428731,-3.225071,0.2032404,0.150346,0.9675171,False,0.112022
544.6686,0.02705759,0.004076665,-0.01210751,0,0,0,0.003521216,10.79084,False,0,-1.495166,-0.00562191,-3.225018,0.2068082,0.1359931,0.9688841,False,0.1123274
544.699,0.02024853,0.00305077,-0.009060646,0,0,0,0.003223599,10.74897,False,0,-1.494987,-0.005638838,-3.224934,0.2090317,0.1270484,0.9696208,False,0.1124077
544.7365,0.01670324,0.002516615,-0.00747423,0,0,0,0.003027117,10.7202,False,0,-1.494812,-0.005663395,-3.22487,0.210403,0.1214607,0.9700401,False,0.1124958
544.7732,0.0139037,0.002094819,-0.006221515,0,0,0,0.00284052,10.70215,False,0,-1.49463,-0.005879581,-3.224847,0.2160078,0.09945472,0.9713132,False,0.112764
544.8132,0.01164193,0.001754045,-0.005209433,0,0,0,0.002660441,10.61152,False,0,-1.494617,-0.005833209,-3.224728,0.2196771,0.08561332,0.9718088,False,0.1127121
544.8557,0.0111448,0.001679145,-0.004986984,0,0,0,0.002616244,10.53971,False,0,-1.494599,-0.005780637,-3.224622,0.2214151,0.07975396,0.9719129,False,0.1126587
544.8899,0.01069596,0.00161152,-0.004786141,0,0,0,0.002574635,10.49709,False,0,-1.494607,-0.00604564,-3.224624,0.2291625,0.04905448,0.9721513,False,0.1128926
544.9241,0.01095435,0.00165045,-0.004901761,0,0,0,0.002598794,10.33826,False,0,-1.494751,-0.005921483,-3.224485,0.2334492,0.03232796,0.9718314,False,0.1127019
