Time,TrajectoryGuidanceVF_forceX0,TrajectoryGuidanceVF_forceY0,TrajectoryGuidanceVF_forceZ0,TrajectoryGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
158.6948,0,0,0,0,False,0.25,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
158.7303,0,0,0,0,False,0.25,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
158.7586,0,0,0,0,False,0.25,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
158.7876,0,0,0,0,False,0.25,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
158.8285,0,0,0,0,False,0.25,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
158.8634,0,0,0,0,False,0.25,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
158.8952,0,0,0,0,False,0.25,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
158.9286,0,0,0,0,False,0.25,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
158.9648,0,0,0,0,False,0.25,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
158.9945,0,0,0,0,False,0.25,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
159.0233,0,0,0,0,False,0.25,-1.498382,0.004552066,-3.234357,-5.960464E-08,-4.768371E-07,1,False,0.1036723
159.0554,-0.04455162,0.009927128,0.02017567,0.0006628534,False,0.25,-1.49779,0.004420273,-3.234625,0.02961194,-0.08412904,0.9960148,False,0.104106
159.0844,-0.04455162,0.009927128,0.02017567,0.0006628534,False,0.25,-1.497602,0.004699664,-3.233847,0.009553928,-0.0667209,0.997726,False,0.1037624
159.1208,-0.09613609,-0.00462981,0.01299552,0.001053044,False,0.25,-1.497217,0.004785091,-3.233691,0.003824306,-0.0583517,0.9982888,False,0.1038212
159.1573,-0.1212017,-0.0146108,0.01861456,0.001279583,False,0.25,-1.496957,0.00495475,-3.233424,-0.006469623,-0.04505264,0.9989637,False,0.1037281
159.187,-0.1212017,-0.0146108,0.01861456,0.001279583,False,0.25,-1.496674,0.005143223,-3.23307,-0.01767051,-0.03065503,0.9993738,False,0.1036109
159.2231,-0.1734359,-0.04627171,0.03253178,0.001624412,False,0.25,-1.49654,0.005404182,-3.232619,-0.02669529,-0.008160504,0.9996103,False,0.1033446
159.2567,-0.1883817,-0.07360172,0.04188985,0.001806815,False,0.25,-1.496345,0.005770311,-3.23205,-0.03099427,0.02065544,0.9993061,False,0.1029915
159.2858,-0.1883817,-0.07360172,0.04188985,0.001806815,False,0.25,-1.496035,0.006142357,-3.231413,-0.0459824,0.04942432,0.9977188,False,0.1026755
159.3174,-0.1907257,-0.1027307,0.05325409,0.002183248,False,0.25,-1.495932,0.006420953,-3.230875,-0.05723174,0.06783961,0.9960534,False,0.1023705
159.3445,-0.1907257,-0.1027307,0.05325409,0.002183248,False,0.25,-1.496017,0.00667667,-3.230307,-0.0801405,0.08085445,0.9934989,False,0.1019952
159.3776,-0.1784124,-0.1360714,0.06769691,0.002032176,False,0.25,-1.496107,0.006815109,-3.230045,-0.087194,0.08804112,0.9922933,False,0.1017819
159.4043,-0.1561199,-0.1190694,0.05923823,0.002032176,False,0.25,-1.496227,0.007041577,-3.229643,-0.1013146,0.09862415,0.9899539,False,0.1014517
159.438,-0.133425,-0.1299718,0.06606998,0.001943432,False,0.25,-1.496241,0.00706929,-3.229548,-0.1095115,0.09656428,0.9892839,False,0.1014027
159.4695,-0.1056959,-0.1029604,0.05233897,0.001943432,False,0.25,-1.496293,0.007113932,-3.229449,-0.1158203,0.09334487,0.9888743,False,0.1013209
159.4973,-0.07812673,-0.09436832,0.02132369,0.001914897,False,0.25,-1.496258,0.007168004,-3.229299,-0.1172179,0.09640384,0.988416,False,0.1012613
159.5283,-0.05264476,-0.0743368,0.00309793,0.001914897,False,0.25,-1.496247,0.007185407,-3.229189,-0.1163683,0.09888366,0.9882714,False,0.1012303
159.5618,-0.04423816,-0.05855018,-0.000804575,0.001885723,False,0.25,-1.496182,0.007222187,-3.228981,-0.1140768,0.1034722,0.9880688,False,0.1011887
159.5955,-0.03600945,-0.05668733,-0.01440155,0.00170291,False,0.25,-1.496293,0.007239504,-3.228662,-0.1162502,0.1083338,0.9872941,False,0.1010632
159.6257,-0.02581131,-0.03620715,-0.01398157,0.00170291,False,0.25,-1.496318,0.007323844,-3.228353,-0.1130969,0.1154127,0.9868581,False,0.1009213
159.6599,-0.03135742,-0.06342099,-0.01884736,0.001539491,False,0.25,-1.496384,0.007490726,-3.227992,-0.108629,0.1275508,0.9858654,False,0.1006806
159.6898,-0.03086067,-0.05877484,-0.01705483,0.001539491,False,0.25,-1.496674,0.007709799,-3.227442,-0.1066317,0.1446441,0.9837214,False,0.1002585
159.7244,0.01528532,-0.1128224,4.150698E-05,0.00120454,False,0.25,-1.496957,0.007799692,-3.227111,-0.1059916,0.1505843,0.9828989,False,0.09999261
159.7564,0.03821468,-0.1211516,0.05207568,0.001224473,False,0.25,-1.497241,0.007931303,-3.226796,-0.1046696,0.158931,0.9817256,False,0.09969386
159.7874,0.03821468,-0.1211516,0.05207568,0.001224473,False,0.25,-1.497422,0.00802486,-3.226564,-0.102331,0.1635486,0.9812136,False,0.09949042
159.8193,0.1050737,-0.1316954,0.04374459,0.001437254,False,0.25,-1.497649,0.008138288,-3.226345,-0.1022653,0.1695487,0.9802015,False,0.09925108
159.8477,0.09572505,-0.1199782,0.03985256,0.001437254,False,0.25,-1.497599,0.008334065,-3.226046,-0.1000735,0.1804673,0.9784768,False,0.09905335
159.8796,0.09006102,-0.1147715,0.04197391,0.001415013,False,0.25,-1.49746,0.008393394,-3.22594,-0.1022347,0.1810518,0.9781454,False,0.09904788
159.9139,0.06658322,-0.084852,0.03103183,0.001415013,False,0.25,-1.497174,0.00855675,-3.225769,-0.1027222,0.1865976,0.9770514,False,0.09900983
159.9537,0.04061171,-0.08043715,0.04065631,0.001321164,False,0.25,-1.496971,0.008733841,-3.225603,-0.1000483,0.1938238,0.9759215,False,0.09892283
159.9889,0.03129499,-0.08563972,0.04890941,0.001332562,False,0.25,-1.496684,0.009023551,-3.225331,-0.1031577,0.1999326,0.9743641,False,0.09876183
160.0229,0.02449244,-0.08645434,0.04744087,0.001348792,False,0.25,-1.496562,0.00919188,-3.225159,-0.1061192,0.2042028,0.9731597,False,0.09864588
160.0511,0.02449244,-0.08645434,0.04744087,0.001348792,False,0.25,-1.496447,0.009384738,-3.224936,-0.105374,0.2101413,0.9719758,False,0.09849795
160.0823,0.01803359,-0.08595856,0.05738746,0.001329323,False,0.25,-1.496265,0.009503268,-3.224806,-0.1065472,0.2130494,0.9712145,False,0.09846152
160.116,0.01014393,-0.08206698,0.0562112,0.001288431,False,0.25,-1.496089,0.009636007,-3.224623,-0.1051489,0.2153086,0.9708686,False,0.09840233
160.1454,0.007915202,-0.0691566,0.04598594,0.001288431,False,0.25,-1.495854,0.009761551,-3.224441,-0.1061368,0.2180063,0.9701589,False,0.09837856
160.1836,-0.01679402,-0.06922872,0.0480946,0.001170889,False,0.25,-1.495634,0.0098377,-3.224274,-0.1079853,0.2184333,0.9698588,False,0.09839387
160.2202,-0.02570611,-0.06454982,0.05572664,0.001133108,False,0.25,-1.495404,0.009939525,-3.2241,-0.1094249,0.2185827,0.9696637,False,0.09839138
160.2491,-0.02570611,-0.06454982,0.05572664,0.001133108,False,0.25,-1.495209,0.01003067,-3.223972,-0.1111676,0.2189259,0.9693881,False,0.09838856
160.2827,-0.02839088,-0.05263304,0.06332728,0.001128681,False,0.25,-1.495106,0.01016731,-3.22383,-0.1126519,0.2217425,0.9685762,False,0.09830061
160.3188,-0.03296919,-0.04709689,0.06925026,0.001146829,False,0.25,-1.494902,0.01030127,-3.223677,-0.1103418,0.226335,0.9677795,False,0.09826306
160.3471,-0.03296919,-0.04709689,0.06925026,0.001146829,False,0.25,-1.494748,0.01043293,-3.22348,-0.1088197,0.2284317,0.9674591,False,0.0981975
160.3791,-0.04433218,-0.03576785,0.06853638,0.001133722,False,0.25,-1.494546,0.01056129,-3.223307,-0.1154211,0.2282088,0.9667464,False,0.0981628
160.4114,-0.04433218,-0.03576785,0.06853638,0.001133722,False,0.25,-1.494353,0.01064773,-3.223149,-0.1176935,0.2260337,0.9669834,False,0.09816236
160.4532,-0.0644856,-0.03059224,0.07809187,0.001159564,False,0.25,-1.494191,0.01084995,-3.222937,-0.1147061,0.2329572,0.9656984,False,0.09804109
160.4861,-0.0802337,-0.02653321,0.07656787,0.001279375,False,0.25,-1.493835,0.01112605,-3.222668,-0.1175221,0.2358065,0.9646677,False,0.09794694
