Time,TrajectoryGuidanceVF_forceX0,TrajectoryGuidanceVF_forceY0,TrajectoryGuidanceVF_forceZ0,TrajectoryGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
423.365,0.06707948,0.01111897,-0.01128063,0.000815767,True,1,-1.4991,0.004533928,-3.23373,0.0692568,-0.08292024,0.9941468,False,0.1032353
423.4017,0.07835616,0.01537184,-0.01786232,0.0009589005,True,1,-1.499205,0.004513251,-3.233529,0.06942061,-0.0776156,0.9945635,False,0.1031624
423.4326,0.07297658,0.01686164,-0.01254272,0.001115863,True,1,-1.499341,0.00447334,-3.233428,0.06993092,-0.07756969,0.9945313,False,0.1031171
423.4613,0.05832108,0.0134754,-0.01002384,0.001115863,True,1,-1.499446,0.004467752,-3.233345,0.07081747,-0.07478046,0.9946823,False,0.1030584
423.493,0.06235845,0.01495341,-0.01129027,0.00124437,True,1,-1.499451,0.004449116,-3.233334,0.07091187,-0.07465164,0.9946852,False,0.1030703
423.5215,0.03723871,0.008929757,-0.006742228,0.00124437,True,1,-1.499349,0.004435347,-3.233331,0.07381625,-0.07431717,0.9944989,False,0.103125
423.5473,0.03206531,0.00881632,-0.00642078,0.001150751,True,1,-1.49934,0.004441582,-3.233303,0.07118725,-0.07485492,0.9946502,False,0.1031166
423.5789,0.03203613,0.00837798,-0.005955094,0.001057397,True,1,-1.499248,0.004499067,-3.233236,0.07202669,-0.07239315,0.994772,False,0.1030901
423.6056,0.01773276,0.004637411,-0.003296286,0.001057397,True,1,-1.49921,0.004597332,-3.233113,0.0734695,-0.06698034,0.9950457,False,0.1029923
423.6367,0.01525476,-0.00264787,-0.01688753,0.0009745799,True,1,-1.499153,0.004666025,-3.233004,0.07457292,-0.06458156,0.9951221,False,0.1029318
423.6698,0.01525476,-0.00264787,-0.01688753,0.0009745799,True,1,-1.499022,0.004688134,-3.232917,0.07513402,-0.0650909,0.9950467,False,0.1029484
423.7083,-0.004806037,-0.008144653,-0.02485454,0.0007418775,True,1,-1.498887,0.004732409,-3.232801,0.07598826,-0.06246807,0.99515,False,0.1029413
423.7449,0.006770828,-0.007844582,-0.03581821,0.0006625255,True,1,-1.498782,0.004772011,-3.232633,0.07709145,-0.05985981,0.9952254,False,0.1029146
423.7792,0.0100893,0.002603952,-0.03942475,0.0006281154,True,1,-1.498691,0.004735781,-3.232411,0.07850929,-0.06058567,0.9950707,False,0.1029365
423.8098,0.0100893,0.002603952,-0.03942475,0.0006281154,True,1,-1.498698,0.004712274,-3.232194,0.07976752,-0.06116934,0.9949349,False,0.1029068
423.843,0.0466224,0.02155283,-0.02622778,0.0008400998,True,1,-1.498805,0.004718265,-3.231912,0.08176198,-0.05884108,0.9949134,False,0.1027948
423.8794,0.06587662,0.03010201,-0.01784394,0.001023585,True,1,-1.498925,0.004673019,-3.231632,0.0834429,-0.05930389,0.9947464,False,0.1027238
423.9091,0.06263576,0.02862111,-0.01696609,0.001023585,True,1,-1.499147,0.004610959,-3.231222,0.08584279,-0.05991833,0.9945053,False,0.1025975
423.943,0.1018972,0.04874264,-0.02759639,0.001495816,True,1,-1.499249,0.004580611,-3.230943,0.08746282,-0.06053235,0.9943269,False,0.1025229
423.9773,0.10468,0.05473199,-0.02669138,0.001578262,True,1,-1.499266,0.004548984,-3.230695,0.08887442,-0.06097389,0.9941748,False,0.1024932
424.0053,0.10468,0.05473199,-0.02669138,0.001578262,True,1,-1.499141,0.004521547,-3.230427,0.09031741,-0.06180162,0.9939936,False,0.1025166
424.0404,0.0820932,0.05767968,-0.02412154,0.00147686,True,1,-1.49902,0.00451972,-3.230319,0.09083675,-0.0621733,0.9939231,False,0.1025482
424.0699,0.0820932,0.05767968,-0.02412154,0.00147686,True,1,-1.49873,0.004589869,-3.230104,0.09238562,-0.05685208,0.994099,False,0.1025683
424.1003,0.06201309,0.06804252,-0.02500528,0.001136986,True,1,-1.498528,0.004618812,-3.229995,0.09269532,-0.0570627,0.9940581,False,0.1026087
424.1369,0.01523663,0.04655675,-0.0441936,0.001021021,True,1,-1.498361,0.004677553,-3.229881,0.09341712,-0.05431944,0.9941442,False,0.1026073
424.171,0.01523663,0.04655675,-0.0441936,0.001021021,True,1,-1.498225,0.004738646,-3.229775,0.09401853,-0.05140762,0.9942423,False,0.1025919
424.206,-0.008711799,0.04665728,-0.05039833,0.0008580411,True,1,-1.498117,0.004798612,-3.229658,0.09174883,-0.04765061,0.9946414,False,0.1025641
